Link,Title,Location,Career,Recruitment period
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48762253,[외국계] 신규사업개척,서울 강남구,경력 3~9년,오늘마감
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48525607,[TE 커넥티비티] PLANT CONTROLLER,경북 경산시,경력10년↑,~ 08/31(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48665781,Cost Analyst(연구개발 부문 원가분석) 경력채용(사원-대리급),충남 천안시 서북구,경력 3~6년,~ 08/24(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48775296,Hub Labeling Manager Associate(1year Fixed Term),서울 중구,신입,~ 08/30(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48686092,"[쿠팡] Principal, Procurement (Global Procurement)",서울 송파구,경력5년↑,~ 08/24(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48785391,[한국하니웰] 시니어 영업 (EPC 경력자 모집),서울 마포구,경력 5~15년,~ 10/08(화)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48671192,"한국바스프 HR Business Partner, 1 Year Contract 모집",서울 중구,경력5년↑,~ 08/30(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48769315,[글로벌 Robotics 기업] Technical Sales,경기 성남시 분당구,경력5년↑,내일마감
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48814930,Service Engineer 채용 (경력),경남 양산시,경력 1~5년,~ 09/12(목)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48809205,[글로벌인슈어테크기업] 오퍼레이션 리드 (15년+),서울 강남구,경력 14~20년,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48807286,[외국계] Sales Engineer(장비),경기 성남시 분당구,경력 4~5년,~ 09/12(목)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48685127,HSE Consultant,서울 종로구,경력7년↑,~ 08/24(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48814986,영업부문 경력직 채용(Global Key Account Rep.),인천 연수구,경력 1~3년,~ 09/12(목)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48802321,(주)드림텍 2024년 3분기 관리·제조부문 채용,충남 아산시,신입·경력,~ 08/25(일)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48785602,[무역상사/외국계] HRBP(부장급)- 정규직/서울,서울 강남구,경력 5~15년,~ 09/08(일)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48837501,[외국계] HR 총무 경력,서울 마포구,경력 2~4년,~ 09/18(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48849794,[얀센백신] Associate Technician QC Lab Service (Contractor),인천 연수구,경력무관,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48798673,[주방용품 1위 기업/외국계] 주방가전 마케팅 PM - 산휴대체 1년,서울 강남구,경력 3~7년,~ 08/30(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48841495,[유럽] 현대글로비스 유럽법인 물류사업 기획 담당자 채용,유럽 독일,경력 3~10년,~ 09/01(일)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48844797,[외국계]산업용 장비 제조사 - AM(After-Market) Sales,경기 용인시 처인구,경력 5~11년,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48685403,[써모피셔 사이언티픽] Sales Manager (Lab Chemical),서울 강남구,경력7년↑,~ 08/24(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48806353,EA & Administrative Assistant (Fixed Term Contract),서울 강남구,경력 1~10년,~ 10/12(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48837091,Sales Representative,서울 용산구,경력무관,~ 09/18(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48849872,[존슨앤드존슨 메드테크]Sr. Professional Sales Representative,서울 용산구,경력3년↑,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48804626,[반도체/영업] Sales Account Manager,서울 중구,경력12년↑,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48619156,Product Owner (고수 Side),서울 강남구,경력3년↑,~ 08/30(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48809157,스킨케어 Sr. Marketer[과~차장급] - 외국계 초우량 소비재 기업,서울 강남구,경력 6~14년,~ 09/13(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48852836,[외국계] Marketing Specialist(광명),경기 광명시,경력 3~5년,~ 09/20(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48619366,Product Owner (유저 리텐션),서울 강남구,경력3년↑,~ 08/30(금)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48839633,글로벌 해외 패션브랜드 한국지사 - 이커머스 매니저,서울 강남구,경력7년↑,~ 09/18(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48822508,[외국계 패션] Footwear Merchandising (경력 5~11년 / 영어),서울 강남구,경력 5~11년,~ 09/15(일)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48615523,Business Development Manager,서울 강남구,경력 3~5년,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48820822,"[뷰티] 해외영업 (쇼피,라다자 MD) 경력직",서울 마포구,경력1년↑,~ 09/15(일)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48787549,[유명수입자동차] Product & Pricing manager,서울 강남구,경력5년↑,~ 09/09(월)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48683335,화장품 브랜드 해외영업팀 채용,서울 금천구,경력2년↑,~ 08/24(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48685030,Training Coordinator,서울 종로구,경력무관,~ 08/24(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48714034,"Consumer Marketing Manager, Oral Health and Mother&Childcare",서울 중구,경력 5~9년,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48569432,Localization Project Manager,서울 서초구,경력 5~10년,상시채용
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48624833,Battery Business Development (프랑스계 화학회사),서울 성동구,신입·경력,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48685457,System Functional Safety Engineer - Automotive,서울 종로구,경력4년↑,~ 08/24(토)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48782177,[외국계 시험인증기업] Procurement(구매)(4~8년 차)경력자 모집,경기 안양시 동안구,경력 4~8년,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48781839,[글로벌 패션브랜드] Sr. Merchandiser (경력 5~11년 / 영어),서울 강남구,경력 5~11년,~ 09/08(일)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48784435,[코스메틱/생산관리] Production Assistant Manager,서울 중구,경력3년↑,채용시
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48660566,Machine Learning Research Scientist,서울전체,경력 2~5년,오늘마감
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48837482,[TE 커넥티비티] LOGISTICS ANALYST,경북 경산시,경력 1~3년,~ 09/18(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48855339,각 부문 신입 및 경력사원 채용 (본사/지방공장),인천전체,신입·경력,~ 09/04(수)
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48491506,[하이네켄코리아 부산] On Trade 주류 영업 신입/경력 사원 모집,부산 금정구,신입·경력,상시채용
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48508827,[인테그리스코리아] Facility Manager 채용,경기 평택시,경력10년↑,채용시
